Code,Name,Close,Location,Industry,List_date,Years,Profit,EPS1618,EPS1113,Book_Value,div,div2,PE1618,dir_rate,Growth,Growth2,liquidity_ratio,有形资产/债务,PB,Mkt_value
000589.SZ,黔轮胎Ａ,4,贵州,化工,1996/3/8,24.00547945,0,-0.053466667,0.273333333,4.3887,-,0,10000,0,-1.195609756,-119.56%,0.82922936,0.727380451,0.911431631,3342251150
000590.SZ,启迪古汉,10.22,湖南,医药生物,1996/1/19,24.13972603,0,0.0567,0.078366667,2.4208,-,0,180.2469136,0,-0.276478094,-27.65%,3.172401116,-3.945502067,4.221744878,2689262328
000591.SZ,太 阳 能,3.54,重庆,公用事业,1996/2/8,24.08493151,1,0.36,0.089866667,4.234,是,1,9.833333333,36.27543783,3.005934718,300.59%,1.180415892,0.81485017,0.836088805,10284275269
000592.SZ,平潭发展,2.4,福建,农林牧渔,1996/3/27,23.95342466,1,0.009066667,0.027,1.6476,-,0,264.7058824,0,-0.664197531,-66.42%,4.337303192,-3.658870413,1.456664239,5273761835
000593.SZ,大通燃气,4.95,四川,公用事业,1996/3/12,23.99452055,0,-0.206666667,0.16,2.5715,-,0,10000,0,-2.291666667,-229.17%,2.037743589,1.694215565,1.924946529,2212753326
000595.SZ,宝塔实业,2.75,宁夏,机械设备,1996/4/19,23.89041096,0,-0.073333333,-0.156666667,0.8174,-,0,10000,0,-0.531914894,-53.19%,1.02730477,0.734115366,3.364325911,2598549450
000596.SZ,古井贡酒,122.3,安徽,食品饮料,1996/9/27,23.44931507,1,2.433333333,1.673333333,15.0953,是,1,50.26027397,44.56028196,0.454183267,45.42%,1.948641995,-3.995841264,8.101859519,54469376000
000597.SZ,东北制药,7.73,辽宁,医药生物,1996/5/23,23.79726027,0,0.22,-0.55,6.0935,-,0,35.13636364,0,-1.4,-140.00%,0.922330113,0.513342632,1.268564864,6251661013
000598.SZ,兴蓉环境,4.52,四川,公用事业,1996/5/29,23.78082192,1,0.306666667,0.466666667,3.4975,是,1,14.73913043,19.93326068,-0.342857143,-34.29%,0.855780639,2.542645687,1.29235168,13467845895
000599.SZ,青岛双星,3.99,山东,化工,1996/4/30,23.86027397,1,0.11,0.053333333,4.3917,是,1,36.27272727,30.375007,1.0625,106.25%,0.98277128,0.736488879,0.908532004,3711694296
000600.SZ,建投能源,4.95,河北,公用事业,1996/6/6,23.75890411,1,0.382,0.303,6.114,是,1,12.95811518,41.4880289,0.260726073,26.07%,0.564408495,0.863942615,0.809617272,8653555396
000601.SZ,韶能股份,5.75,广东,公用事业,1996/8/30,23.5260274,1,0.366666667,0.146666667,4.1818,是,1,15.68181818,53.50764721,1.5,150.00%,0.551821124,1.323363287,1.375005978,6580559664
