Code,Name,Close,Location,Industry,List_date,2018/12/31,2017/12/31,2016/12/31,2015/12/31,2014/12/31,2013/12/31,2012/12/31,2011/12/31,2010/12/31,2009/12/31,2008/12/31,2007/12/31,2006/12/31,Profit,平均EPS(2016-18),平均EPS(2011-13),净资产,div,PE1618,分红比率,Growth,流动比例,有形资产/债务,PB,Mkt_value,市值>500亿,PE<15,流动比例>2,Y6,市净率<1.5,上市超过6年,PB<1.5的沪深300,PE*PB<22.5,
000543.SZ,皖能电力,4.0600,安徽,公用事业,1993-12-20,0.3100 ,0.0700 ,0.5000 ,0.6500 ,0.8800 ,1.1100 ,0.3670 ,0.0200 ,0.2800 ,0.1500 ,0.0200 ,0.0800 ,0.0000 ,1,0.29,0.50,5.4719,是,13.84,14.1618,-41.22%,0.4033,1.1291,0.74,"10,608,920,389.08",0,1,0,1,1,1,1,1,
000544.SZ,中原环保,6.0700,河南,公用事业,1993-12-08,0.4300 ,0.5000 ,0.5000 ,0.3800 ,0.2500 ,0.2200 ,0.3800 ,0.3000 ,0.2737 ,0.2179 ,0.2409 ,0.1972 ,0.0000 ,1,0.48,0.30,5.9362,是,12.73,58.8120,58.89%,2.5644,-11.6550,1.02,"5,789,625,858.72",0,1,1,1,1,1,1,1,
000545.SZ,金浦钛业,2.8600,吉林,化工,1993-12-15,0.1030 ,0.1700 ,0.1200 ,0.1300 ,0.1300 ,0.3600 ,0.0200 ,-0.0351,-0.3000,-0.1000,0.0200 ,0.1200 ,0.0000 ,1,0.13,0.11,2.0806,-,21.83,0.0000,13.95%,1.9689,-8.1461,1.37,"2,891,420,971.28",0,0,0,1,1,1,1,0,
000546.SZ,金圆股份,8.9000,吉林,建筑材料,1993-12-15,0.5245 ,0.5532 ,0.5133 ,0.4415 ,0.3012 ,0.1216 ,0.0295 ,0.1159 ,0.0132 ,0.1093 ,-0.1230,0.0621 ,0.0000 ,1,0.53,0.09,5.1622,是,16.78,9.5383,495.88%,1.0263,1.4541,1.72,"7,496,619,714.04",0,0,0,1,0,1,0,0,
000547.SZ,航天发展,14.0500,福建,国防军工,1993-11-30,0.3100 ,0.1900 ,0.1700 ,0.2300 ,0.2300 ,0.1700 ,0.1400 ,0.1900 ,0.1000 ,0.2800 ,0.1200 ,0.0700 ,0.0000 ,1,0.22,0.17,4.3879,-,62.91,0.0000,34.00%,2.2859,-2.2328,3.20,"15,173,665,425.45",0,0,1,1,0,1,0,0,
000548.SZ,湖南投资,4.0200,湖南,交通运输,1993-12-20,0.0800 ,0.2600 ,0.1200 ,0.0400 ,0.0400 ,0.0200 ,0.0600 ,0.1100 ,0.1700 ,0.2100 ,0.0740 ,0.3900 ,0.0000 ,1,0.15,0.06,3.3286,是,26.22,24.8105,142.11%,2.1189,-2.5502,1.21,"1,981,886,769.67",0,0,1,1,1,1,1,0,
000550.SZ,江铃汽车,12.5500,江西,汽车,1993-12-01,0.1100 ,0.8000 ,1.5300 ,2.5700 ,2.4400 ,1.9700 ,1.7600 ,2.1700 ,1.9800 ,1.2200 ,0.9100 ,0.8800 ,0.0000 ,1,0.81,1.97,12.0300,是,15.43,"2,215.5301",-58.64%,1.3386,-0.9953,1.04,"12,283,535,220.00",0,0,0,1,1,1,1,1,
000551.SZ,创元科技,7.5000,江苏,机械设备,1994-01-06,0.2200 ,0.1700 ,0.1200 ,0.0600 ,0.0800 ,0.1000 ,0.0100 ,0.1400 ,0.2600 ,0.3600 ,0.2000 ,0.2700 ,0.0000 ,1,0.17,0.08,4.0476,-,44.12,0.0000,104.00%,1.3970,-19.8665,1.85,"2,444,491,274.55",0,0,0,1,0,1,0,0,
000552.SZ,靖远煤电,2.2600,甘肃,采掘,1994-01-06,0.2505 ,0.2415 ,0.0969 ,0.1623 ,0.4618 ,0.5960 ,1.2446 ,0.4000 ,0.3200 ,0.3000 ,0.5100 ,0.2500 ,0.0000 ,1,0.20,0.75,3.1916,是,11.51,39.9272,-73.72%,1.7651,-2.6628,0.71,"5,763,167,046.00",0,1,0,1,1,1,1,1,
000553.SZ,沙隆达Ａ,9.4600,湖北,化工,1993-12-03,0.0000 ,0.0000 ,-0.1254,0.2388 ,0.8280 ,0.5402 ,0.1747 ,0.0890 ,0.0401 ,0.0325 ,0.2910 ,0.0500 ,0.0000 ,0,-0.04,0.27,9.1067,是,10000.00,9.8780,-115.60%,2.0655,2.3165,1.04,"24,074,087,246.88",0,0,1,1,1,1,1,0,
